[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 1.99999995e-04
3.40340339e-04, 1.99971037e-04
6.80680678e-04, 1.99942093e-04
1.02102105e-03, 1.99913164e-04
1.36136136e-03, 1.99884176e-04
1.70170167e-03, 1.99855247e-04
2.04204209e-03, 1.99826303e-04
2.38238252e-03, 1.99797330e-04
2.72272294e-03, 1.99768387e-04
3.06306337e-03, 1.99739443e-04
3.40340380e-03, 1.99710514e-04
3.74374422e-03, 1.99681555e-04
4.08408465e-03, 1.99652597e-04
4.42442484e-03, 1.99623682e-04
4.76476504e-03, 1.99594724e-04
5.10510523e-03, 1.99565766e-04
5.44544542e-03, 1.99536822e-04
5.78578562e-03, 1.99507878e-04
6.12612581e-03, 1.99478920e-04
6.46646600e-03, 1.99449962e-04
6.80680620e-03, 1.99381655e-04
7.14714639e-03, 1.99311427e-04
7.48748658e-03, 1.99241214e-04
7.82782678e-03, 1.99171016e-04
8.16816743e-03, 1.99100818e-04
8.50850809e-03, 1.99030590e-04
8.84884875e-03, 1.98960406e-04
9.18918941e-03, 1.98890251e-04
9.52953007e-03, 1.98820053e-04
9.86987073e-03, 1.98749840e-04
1.02102114e-02, 1.98679685e-04
1.05505520e-02, 1.98613066e-04
1.08908927e-02, 1.98547757e-04
1.12312334e-02, 1.98482463e-04
1.15715740e-02, 1.98417154e-04
1.19119147e-02, 1.98351830e-04
1.22522553e-02, 1.98286536e-04
1.25925960e-02, 1.98221198e-04
1.29329367e-02, 1.98155903e-04
1.32732773e-02, 1.98090580e-04
1.36136180e-02, 1.97992718e-04
1.39539586e-02, 1.97873349e-04
1.42942993e-02, 1.97753980e-04
1.46346400e-02, 1.97634596e-04
1.49749806e-02, 1.97515212e-04
1.53153213e-02, 1.97395828e-04
1.56556610e-02, 1.97276488e-04
1.59960017e-02, 1.97157147e-04
1.63363423e-02, 1.97037778e-04
1.66766830e-02, 1.96912166e-04
1.70170236e-02, 1.96784211e-04
1.73573643e-02, 1.96656285e-04
1.76977050e-02, 1.96528359e-04
1.80380456e-02, 1.96400390e-04
1.83783863e-02, 1.96272478e-04
1.87187269e-02, 1.96144523e-04
1.90590676e-02, 1.96016626e-04
1.93994083e-02, 1.95888671e-04
1.97397489e-02, 1.95760746e-04
2.00800896e-02, 1.95632863e-04
2.04204302e-02, 1.95479675e-04
2.07607709e-02, 1.95262648e-04
2.11011115e-02, 1.95045635e-04
2.14414522e-02, 1.94828608e-04
2.17817929e-02, 1.94611595e-04
2.21221335e-02, 1.94394554e-04
2.24624742e-02, 1.94177541e-04
2.28028148e-02, 1.93960543e-04
2.31431555e-02, 1.93743515e-04
2.34834962e-02, 1.93526503e-04
2.38238368e-02, 1.93309475e-04
2.41641775e-02, 1.93092492e-04
2.45045181e-02, 1.92881926e-04
2.48448588e-02, 1.92676613e-04
2.51851995e-02, 1.92471343e-04
2.55255401e-02, 1.92266089e-04
2.58658808e-02, 1.92060819e-04
2.62062214e-02, 1.91855579e-04
2.65465621e-02, 1.91635758e-04
2.68869027e-02, 1.91321233e-04
2.72272434e-02, 1.91006679e-04
2.75675841e-02, 1.90692212e-04
2.79079247e-02, 1.90377716e-04
2.82482654e-02, 1.90063263e-04
2.85886060e-02, 1.89758706e-04
2.89289467e-02, 1.89459504e-04
2.92692874e-02, 1.89160346e-04
2.96096280e-02, 1.88861202e-04
2.99499687e-02, 1.88562015e-04
3.02903093e-02, 1.88262857e-04
3.06306500e-02, 1.87963713e-04
3.09709907e-02, 1.87664555e-04
3.13113295e-02, 1.87365426e-04
3.16516683e-02, 1.87066282e-04
3.19920070e-02, 1.86767138e-04
3.23323458e-02, 1.86467994e-04
3.26726846e-02, 1.86073070e-04
3.30130234e-02, 1.85611396e-04
3.33533622e-02, 1.85149780e-04
3.36937010e-02, 1.84688135e-04
3.40340398e-02, 1.84226519e-04
3.43743786e-02, 1.83764903e-04
3.47147174e-02, 1.83303287e-04
3.50550562e-02, 1.82841672e-04
3.53953950e-02, 1.82380070e-04
3.57357338e-02, 1.81918454e-04
3.60760726e-02, 1.81456853e-04
3.64164114e-02, 1.81005438e-04
3.67567502e-02, 1.80582982e-04
3.70970890e-02, 1.80160554e-04
3.74374278e-02, 1.79585448e-04
3.77777666e-02, 1.78908973e-04
3.81181054e-02, 1.78232513e-04
3.84584442e-02, 1.77556067e-04
3.87987830e-02, 1.76946720e-04
3.91391218e-02, 1.76345740e-04
3.94794606e-02, 1.75744761e-04
3.98197994e-02, 1.75143738e-04
4.01601382e-02, 1.74542787e-04
4.05004770e-02, 1.73941837e-04
4.08408158e-02, 1.73340857e-04
4.11811545e-02, 1.72739848e-04
4.15214933e-02, 1.71996100e-04
4.18618321e-02, 1.71188614e-04
4.22021709e-02, 1.70381172e-04
4.25425097e-02, 1.69573832e-04
4.28828485e-02, 1.68766550e-04
4.32231873e-02, 1.67959355e-04
4.35635261e-02, 1.67246835e-04
4.39038649e-02, 1.66540602e-04
4.42442037e-02, 1.65834441e-04
4.45845425e-02, 1.65128280e-04
4.49248813e-02, 1.64422192e-04
4.52652201e-02, 1.63716104e-04
4.56055589e-02, 1.63010031e-04
4.59458977e-02, 1.62304030e-04
4.62862365e-02, 1.61340577e-04
4.66265753e-02, 1.60224386e-04
4.69669141e-02, 1.59108255e-04
4.73072529e-02, 1.57992181e-04
4.76475917e-02, 1.56876165e-04
4.79879305e-02, 1.55760252e-04
4.83282693e-02, 1.54644367e-04
4.86686081e-02, 1.53528541e-04
4.90089469e-02, 1.52412817e-04
4.93492857e-02, 1.51332919e-04
4.96896245e-02, 1.50266264e-04
5.00299633e-02, 1.49199739e-04
5.03703021e-02, 1.48133346e-04
5.07106408e-02, 1.46931736e-04
5.10509796e-02, 1.45578873e-04
5.13913184e-02, 1.44226069e-04
5.17316572e-02, 1.42873352e-04
5.20719960e-02, 1.41520664e-04
5.24123348e-02, 1.40168035e-04
5.27526736e-02, 1.38815478e-04
5.30930124e-02, 1.37545518e-04
5.34333512e-02, 1.36303235e-04
5.37736900e-02, 1.35060953e-04
5.41140288e-02, 1.33818699e-04
5.44543676e-02, 1.32576461e-04
5.47947064e-02, 1.31334222e-04
5.51350452e-02, 1.30092027e-04
5.54753840e-02, 1.28849846e-04
5.58157228e-02, 1.27196792e-04
5.61560616e-02, 1.25535618e-04
5.64964004e-02, 1.23874677e-04
5.68367392e-02, 1.22134661e-04
5.71770780e-02, 1.20286837e-04
5.75174168e-02, 1.18439151e-04
5.78577556e-02, 1.16591604e-04
5.81980944e-02, 1.14744253e-04
5.85384332e-02, 1.12897069e-04
5.88787720e-02, 1.11050067e-04
5.92191108e-02, 1.09203254e-04
5.95594496e-02, 1.07356638e-04
5.98997883e-02, 1.05510218e-04
6.02401271e-02, 1.03441525e-04
6.05804659e-02, 1.01320460e-04
6.09208047e-02, 9.92002824e-05
6.12611435e-02, 9.70891779e-05
6.16014823e-02, 9.49814057e-05
6.19418211e-02, 9.28736408e-05
6.22821599e-02, 9.07658759e-05
6.26225024e-02, 8.86580674e-05
6.29628450e-02, 8.65502734e-05
6.33031875e-02, 8.44424794e-05
6.36435300e-02, 8.23434020e-05
6.39838725e-02, 8.02742506e-05
6.43242151e-02, 7.82052375e-05
6.46645576e-02, 7.60246767e-05
6.50049001e-02, 7.36699949e-05
6.53452426e-02, 7.13154441e-05
6.56855851e-02, 6.90297093e-05
6.60259277e-02, 6.68761641e-05
6.63662702e-02, 6.47227353e-05
6.67066127e-02, 6.25693865e-05
6.70469552e-02, 6.04161760e-05
6.73872977e-02, 5.82630746e-05
6.77276403e-02, 5.61101224e-05
6.80679828e-02, 5.38231980e-05
6.84083253e-02, 5.15177126e-05
6.87486678e-02, 4.92122745e-05
6.90890104e-02, 4.69068509e-05
6.94293529e-02, 4.46014274e-05
6.97696954e-02, 4.23034289e-05
7.01100379e-02, 4.00056088e-05
7.04503804e-02, 3.77830147e-05
7.07907230e-02, 3.56155615e-05
7.11310655e-02, 3.34487559e-05
7.14714080e-02, 3.12827506e-05
7.18117505e-02, 2.91277775e-05
7.21520931e-02, 2.70371438e-05
7.24924356e-02, 2.50525027e-05
7.28327781e-02, 2.30997539e-05
7.31731206e-02, 2.11476781e-05
7.35134631e-02, 1.92319985e-05
7.38538057e-02, 1.74936868e-05
7.41941482e-02, 1.57673130e-05
7.45344907e-02, 1.41314567e-05
7.48748332e-02, 1.25241640e-05
7.52151757e-02, 1.10677438e-05
7.55555183e-02, 9.62971899e-06
7.58958608e-02, 8.23748906e-06
7.62362033e-02, 6.90927754e-06
7.65765458e-02, 5.78387107e-06
7.69168884e-02, 4.75478191e-06
7.72572309e-02, 3.89798697e-06
7.75975734e-02, 3.02619924e-06
7.79379159e-02, 2.16549097e-06
7.82782584e-02, 1.54796112e-06
7.86186010e-02, 1.01682258e-06
7.89589435e-02, 5.83705742e-07
7.92992860e-02, 2.75599859e-07
7.96396285e-02, 8.72422916e-08
7.99799711e-02, 6.46374243e-09
8.03203136e-02, 0.00000000e+00
8.06606561e-02, 0.00000000e+00
undef, undef
8.95095617e-02, 0.00000000e+00
8.98499042e-02, 0.00000000e+00
9.01902467e-02, 1.53062061e-08
9.05305892e-02, 7.25608587e-08
9.08709317e-02, 1.77028284e-07
9.12112743e-02, 3.31107600e-07
9.15516168e-02, 5.19060620e-07
9.18919593e-02, 7.46948444e-07
9.22323018e-02, 9.78412459e-07
9.25726444e-02, 1.27872238e-06
9.29129869e-02, 1.58086982e-06
9.32533294e-02, 1.93002643e-06
9.35936719e-02, 2.29848365e-06
9.39340144e-02, 2.67724158e-06
9.42743570e-02, 3.04911941e-06
