[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 2.00000009e-04
3.40340339e-04, 1.99959031e-04
6.80680678e-04, 1.99917704e-04
1.02102105e-03, 1.99876318e-04
1.36136136e-03, 1.99834976e-04
1.70170167e-03, 1.99793649e-04
2.04204209e-03, 1.99752292e-04
2.38238252e-03, 1.99710950e-04
2.72272294e-03, 1.99669594e-04
3.06306337e-03, 1.99628237e-04
3.40340380e-03, 1.99586881e-04
3.74374422e-03, 1.99545539e-04
4.08408465e-03, 1.99504197e-04
4.42442484e-03, 1.99462840e-04
4.76476504e-03, 1.99421498e-04
5.10510523e-03, 1.99380142e-04
5.44544542e-03, 1.99338770e-04
5.78578562e-03, 1.99297458e-04
6.12612581e-03, 1.99256130e-04
6.46646600e-03, 1.99214788e-04
6.80680620e-03, 1.99173417e-04
7.14714639e-03, 1.99132061e-04
7.48748658e-03, 1.99090704e-04
7.82782678e-03, 1.99049377e-04
8.16816743e-03, 1.99008020e-04
8.50850809e-03, 1.98966634e-04
8.84884875e-03, 1.98925278e-04
9.18918941e-03, 1.98883979e-04
9.52953007e-03, 1.98842623e-04
9.86987073e-03, 1.98801237e-04
1.02102114e-02, 1.98759910e-04
1.05505520e-02, 1.98718568e-04
1.08908927e-02, 1.98677226e-04
1.12312334e-02, 1.98635884e-04
1.15715740e-02, 1.98594527e-04
1.19119147e-02, 1.98553185e-04
1.22522553e-02, 1.98511829e-04
1.25925960e-02, 1.98470487e-04
1.29329367e-02, 1.98429130e-04
1.32732773e-02, 1.98353257e-04
1.36136180e-02, 1.98212583e-04
1.39539586e-02, 1.98071953e-04
1.42942993e-02, 1.97931309e-04
1.46346400e-02, 1.97790665e-04
1.49749806e-02, 1.97650021e-04
1.53153213e-02, 1.97509391e-04
1.56556610e-02, 1.97368747e-04
1.59960017e-02, 1.97228117e-04
1.63363423e-02, 1.97087516e-04
1.66766830e-02, 1.96946901e-04
1.70170236e-02, 1.96806301e-04
1.73573643e-02, 1.96665686e-04
1.76977050e-02, 1.96525041e-04
1.80380456e-02, 1.96384470e-04
1.83783863e-02, 1.96243869e-04
1.87187269e-02, 1.96103283e-04
1.90590676e-02, 1.95962712e-04
1.93994083e-02, 1.95822126e-04
1.97397489e-02, 1.95681525e-04
2.00800896e-02, 1.95540997e-04
2.04204302e-02, 1.95400411e-04
2.07607709e-02, 1.95259825e-04
2.11011115e-02, 1.95143963e-04
2.14414522e-02, 1.95036337e-04
2.17817929e-02, 1.94928711e-04
2.21221335e-02, 1.94821114e-04
2.24624742e-02, 1.94713517e-04
2.28028148e-02, 1.94605964e-04
2.31431555e-02, 1.94498469e-04
2.34834962e-02, 1.94390959e-04
2.38238368e-02, 1.94283479e-04
2.41641775e-02, 1.94165172e-04
2.45045181e-02, 1.93854416e-04
2.48448588e-02, 1.93543659e-04
2.51851995e-02, 1.93232903e-04
2.55255401e-02, 1.92922205e-04
2.58658808e-02, 1.92611464e-04
2.62062214e-02, 1.92300708e-04
2.65465621e-02, 1.91989995e-04
2.68869027e-02, 1.91679239e-04
2.72272434e-02, 1.91368541e-04
2.75675841e-02, 1.91057814e-04
2.79079247e-02, 1.90747116e-04
2.82482654e-02, 1.90436403e-04
2.85886060e-02, 1.90125676e-04
2.89289467e-02, 1.89814979e-04
2.92692874e-02, 1.89504281e-04
2.96096280e-02, 1.89193597e-04
2.99499687e-02, 1.88890248e-04
3.02903093e-02, 1.88641032e-04
3.06306500e-02, 1.88391772e-04
3.09709907e-02, 1.88142556e-04
3.13113295e-02, 1.87893311e-04
3.16516683e-02, 1.87644138e-04
3.19920070e-02, 1.87394893e-04
3.23323458e-02, 1.87145706e-04
3.26726846e-02, 1.86896534e-04
3.30130234e-02, 1.86647318e-04
3.33533622e-02, 1.86398116e-04
3.36937010e-02, 1.85870740e-04
3.40340398e-02, 1.85284778e-04
3.43743786e-02, 1.84699049e-04
3.47147174e-02, 1.84113538e-04
3.50550562e-02, 1.83615892e-04
3.53953950e-02, 1.83122072e-04
3.57357338e-02, 1.82628239e-04
3.60760726e-02, 1.82134434e-04
3.64164114e-02, 1.81640673e-04
3.67567502e-02, 1.81146956e-04
3.70970890e-02, 1.80653224e-04
3.74374278e-02, 1.80159579e-04
3.77777666e-02, 1.79665920e-04
3.81181054e-02, 1.79172319e-04
3.84584442e-02, 1.78678718e-04
3.87987830e-02, 1.78185175e-04
3.91391218e-02, 1.77691676e-04
3.94794606e-02, 1.77198162e-04
3.98197994e-02, 1.76704707e-04
4.01601382e-02, 1.76211295e-04
4.05004770e-02, 1.75717883e-04
4.08408158e-02, 1.75180248e-04
4.11811545e-02, 1.74405242e-04
4.15214933e-02, 1.73630207e-04
4.18618321e-02, 1.72855231e-04
4.22021709e-02, 1.72080268e-04
4.25425097e-02, 1.71305335e-04
4.28828485e-02, 1.70530388e-04
4.32231873e-02, 1.69755484e-04
4.35635261e-02, 1.68980623e-04
4.39038649e-02, 1.68205777e-04
4.42442037e-02, 1.67430931e-04
4.45845425e-02, 1.66656129e-04
4.49248813e-02, 1.65881313e-04
4.52652201e-02, 1.65106539e-04
4.56055589e-02, 1.64331796e-04
4.59458977e-02, 1.63557066e-04
4.62862365e-02, 1.62778000e-04
4.66265753e-02, 1.61891527e-04
4.69669141e-02, 1.61005650e-04
4.73072529e-02, 1.59875199e-04
4.76475917e-02, 1.58739116e-04
4.79879305e-02, 1.57603092e-04
4.83282693e-02, 1.56467009e-04
4.86686081e-02, 1.55330956e-04
4.90089469e-02, 1.54194888e-04
4.93492857e-02, 1.53058849e-04
4.96896245e-02, 1.51922781e-04
5.00299633e-02, 1.50786727e-04
5.03703021e-02, 1.49650659e-04
5.07106408e-02, 1.48514606e-04
5.10509796e-02, 1.47378552e-04
5.13913184e-02, 1.46242499e-04
5.17316572e-02, 1.45130340e-04
5.20719960e-02, 1.44029560e-04
5.24123348e-02, 1.42577177e-04
5.27526736e-02, 1.40950608e-04
5.30930124e-02, 1.39324067e-04
5.34333512e-02, 1.37697527e-04
5.37736900e-02, 1.36071016e-04
5.41140288e-02, 1.34444505e-04
5.44543676e-02, 1.32818008e-04
5.47947064e-02, 1.31191555e-04
