[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
5.61560616e-02, 1.26813786e-04
5.64964004e-02, 1.25062899e-04
5.68367392e-02, 1.23098522e-04
5.71770780e-02, 1.21134202e-04
5.75174168e-02, 1.19169963e-04
5.78577556e-02, 1.17218151e-04
5.81980944e-02, 1.15241644e-04
5.85384332e-02, 1.13277601e-04
5.88787720e-02, 1.11313617e-04
5.92191108e-02, 1.09349734e-04
5.95594496e-02, 1.07385938e-04
5.98997883e-02, 1.05544917e-04
6.02401271e-02, 1.03792489e-04
6.05804659e-02, 1.01973084e-04
6.09208047e-02, 9.98190371e-05
6.12611435e-02, 9.76602532e-05
6.16014823e-02, 9.56460281e-05
6.19418211e-02, 9.36273937e-05
6.22821599e-02, 9.16089048e-05
6.26225024e-02, 8.95905468e-05
6.29628450e-02, 8.75723199e-05
6.33031875e-02, 8.55543185e-05
6.36435300e-02, 8.35364772e-05
6.39838725e-02, 8.15188396e-05
6.43242151e-02, 7.92034843e-05
6.46645576e-02, 7.67971360e-05
6.50049001e-02, 7.43912969e-05
6.53452426e-02, 7.19860254e-05
6.56855851e-02, 6.95813869e-05
6.60259277e-02, 6.72086899e-05
6.63662702e-02, 6.49648864e-05
6.67066127e-02, 6.27214176e-05
6.70469552e-02, 6.04782836e-05
6.73872977e-02, 5.82211287e-05
6.77276403e-02, 5.59602086e-05
6.80679828e-02, 5.36994376e-05
6.84083253e-02, 5.14388230e-05
6.87486678e-02, 4.91784012e-05
6.90890104e-02, 4.69181905e-05
6.94293529e-02, 4.46582271e-05
6.97696954e-02, 4.23985475e-05
7.01100379e-02, 4.01391990e-05
7.04503804e-02, 3.79415505e-05
7.07907230e-02, 3.58217876e-05
7.11310655e-02, 3.37020283e-05
7.14714080e-02, 3.15822763e-05
7.18117505e-02, 2.94625243e-05
7.21520931e-02, 2.73428195e-05
7.24924356e-02, 2.52231293e-05
7.28327781e-02, 2.33910196e-05
7.31731206e-02, 2.16118424e-05
7.35134631e-02, 1.98329362e-05
7.38538057e-02, 1.80375027e-05
7.41941482e-02, 1.62403212e-05
7.45344907e-02, 1.45628483e-05
7.48748332e-02, 1.31233555e-05
7.52151757e-02, 1.16842330e-05
7.55555183e-02, 1.02455979e-05
7.58958608e-02, 8.75638852e-06
7.62362033e-02, 7.40326368e-06
7.65765458e-02, 6.37451785e-06
7.69168884e-02, 5.33226830e-06
7.72572309e-02, 4.28538169e-06
7.75975734e-02, 3.24011398e-06
7.79379159e-02, 2.54757674e-06
7.82782584e-02, 1.87413980e-06
7.86186010e-02, 1.19460901e-06
7.89589435e-02, 7.72768828e-07
7.92992860e-02, 4.05043096e-07
7.96396285e-02, 1.84051672e-07
7.99799711e-02, 1.02278879e-08
8.03203136e-02, 0.00000000e+00
8.06606561e-02, 0.00000000e+00
undef, undef
8.95095617e-02, 0.00000000e+00
8.98499042e-02, 0.00000000e+00
9.01902467e-02, 3.74608753e-08
9.05305892e-02, 1.04476563e-07
9.08709317e-02, 2.21814958e-07
9.12112743e-02, 3.78812246e-07
9.15516168e-02, 5.70189968e-07
9.18919593e-02, 8.01473504e-07
9.22323018e-02, 1.03498257e-06
9.25726444e-02, 1.30434626e-06
9.29129869e-02, 1.61939386e-06
9.32533294e-02, 1.93459596e-06
9.35936719e-02, 2.25211511e-06
9.39340144e-02, 2.60389106e-06
9.42743570e-02, 2.96832695e-06
9.46146995e-02, 3.33206890e-06
9.49550420e-02, 3.69583131e-06
9.52953845e-02, 4.06032359e-06
9.56357270e-02, 4.42541022e-06
9.59760696e-02, 4.78793800e-06
9.63164121e-02, 5.14847488e-06
9.66567546e-02, 5.50309051e-06
9.69970971e-02, 5.80517190e-06
9.73374397e-02, 6.10732150e-06
9.76777822e-02, 6.40418102e-06
9.80181247e-02, 6.67601807e-06
9.83584672e-02, 6.94802930e-06
9.86988097e-02, 7.17568946e-06
