[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
0.00000000e+00, 1.99999995e-04
3.40340339e-04, 1.99955743e-04
6.80680678e-04, 1.99911476e-04
1.02102105e-03, 1.99867238e-04
1.36136136e-03, 1.99822971e-04
1.70170167e-03, 1.99778733e-04
2.04204209e-03, 1.99734452e-04
2.38238252e-03, 1.99690214e-04
2.72272294e-03, 1.99645947e-04
3.06306337e-03, 1.99601709e-04
3.40340380e-03, 1.99557529e-04
3.74374422e-03, 1.99513190e-04
4.08408465e-03, 1.99468966e-04
4.42442484e-03, 1.99424670e-04
4.76476504e-03, 1.99380462e-04
5.10510523e-03, 1.99336166e-04
5.44544542e-03, 1.99291942e-04
5.78578562e-03, 1.99247690e-04
6.12612581e-03, 1.99203438e-04
6.46646600e-03, 1.99159185e-04
6.80680620e-03, 1.99114947e-04
7.14714639e-03, 1.99070681e-04
7.48748658e-03, 1.99026414e-04
7.82782678e-03, 1.98982190e-04
8.16816743e-03, 1.98937923e-04
8.50850809e-03, 1.98893686e-04
8.84884875e-03, 1.98849448e-04
9.18918941e-03, 1.98806578e-04
9.52953007e-03, 1.98764872e-04
9.86987073e-03, 1.98723181e-04
1.02102114e-02, 1.98612979e-04
1.05505520e-02, 1.98493348e-04
1.08908927e-02, 1.98373702e-04
1.12312334e-02, 1.98254085e-04
1.15715740e-02, 1.98134439e-04
1.19119147e-02, 1.98014764e-04
1.22522553e-02, 1.97895104e-04
1.25925960e-02, 1.97775487e-04
1.29329367e-02, 1.97657748e-04
1.32732773e-02, 1.97547022e-04
1.36136180e-02, 1.97436340e-04
1.39539586e-02, 1.97325629e-04
1.42942993e-02, 1.97214918e-04
1.46346400e-02, 1.97104207e-04
1.49749806e-02, 1.96993482e-04
1.53153213e-02, 1.96882786e-04
1.56556610e-02, 1.96772060e-04
1.59960017e-02, 1.96661349e-04
1.63363423e-02, 1.96550653e-04
1.66766830e-02, 1.96439942e-04
1.70170236e-02, 1.96329245e-04
1.73573643e-02, 1.96218520e-04
1.76977050e-02, 1.96107809e-04
1.80380456e-02, 1.95997069e-04
1.83783863e-02, 1.95886372e-04
1.87187269e-02, 1.95775647e-04
1.90590676e-02, 1.95664965e-04
1.93994083e-02, 1.95554239e-04
1.97397489e-02, 1.95443528e-04
2.00800896e-02, 1.95316694e-04
2.04204302e-02, 1.95165034e-04
2.07607709e-02, 1.95013505e-04
2.11011115e-02, 1.94861917e-04
2.14414522e-02, 1.94628403e-04
2.17817929e-02, 1.94335487e-04
2.21221335e-02, 1.94042601e-04
2.24624742e-02, 1.93749744e-04
2.28028148e-02, 1.93456915e-04
2.31431555e-02, 1.93164044e-04
2.34834962e-02, 1.92871186e-04
2.38238368e-02, 1.92639112e-04
2.41641775e-02, 1.92409105e-04
2.45045181e-02, 1.92179097e-04
2.48448588e-02, 1.91949075e-04
2.51851995e-02, 1.91719082e-04
2.55255401e-02, 1.91489060e-04
2.58658808e-02, 1.91259023e-04
2.62062214e-02, 1.91029030e-04
2.65465621e-02, 1.90799023e-04
2.68869027e-02, 1.90569015e-04
2.72272434e-02, 1.90339008e-04
2.75675841e-02, 1.90109044e-04
2.79079247e-02, 1.89879036e-04
2.82482654e-02, 1.89649028e-04
2.85886060e-02, 1.89419035e-04
2.89289467e-02, 1.89189086e-04
2.92692874e-02, 1.88959079e-04
2.96096280e-02, 1.88729100e-04
2.99499687e-02, 1.88499078e-04
3.02903093e-02, 1.88269129e-04
3.06306500e-02, 1.88039150e-04
3.09709907e-02, 1.87809143e-04
3.13113295e-02, 1.87513768e-04
3.16516683e-02, 1.87032885e-04
3.19920070e-02, 1.86551988e-04
3.23323458e-02, 1.86071164e-04
3.26726846e-02, 1.85590281e-04
3.30130234e-02, 1.85109471e-04
3.33533622e-02, 1.84628632e-04
3.36937010e-02, 1.84147822e-04
3.40340398e-02, 1.83667042e-04
3.43743786e-02, 1.83186261e-04
3.47147174e-02, 1.82705509e-04
3.50550562e-02, 1.82224758e-04
3.53953950e-02, 1.81744050e-04
3.57357338e-02, 1.81263327e-04
3.60760726e-02, 1.80782634e-04
3.64164114e-02, 1.80301911e-04
3.67567502e-02, 1.79821276e-04
3.70970890e-02, 1.79359908e-04
3.74374278e-02, 1.78929971e-04
3.77777666e-02, 1.78500137e-04
3.81181054e-02, 1.78070331e-04
3.84584442e-02, 1.77640657e-04
3.87987830e-02, 1.77211026e-04
3.91391218e-02, 1.76781425e-04
3.94794606e-02, 1.76351983e-04
3.98197994e-02, 1.75922585e-04
4.01601382e-02, 1.75154637e-04
4.05004770e-02, 1.74305780e-04
4.08408158e-02, 1.73456967e-04
4.11811545e-02, 1.72608168e-04
4.15214933e-02, 1.71759457e-04
4.18618321e-02, 1.70910775e-04
4.22021709e-02, 1.70062180e-04
4.25425097e-02, 1.69213512e-04
4.28828485e-02, 1.68364990e-04
4.32231873e-02, 1.67516468e-04
4.35635261e-02, 1.66667960e-04
4.39038649e-02, 1.65847770e-04
4.42442037e-02, 1.65128658e-04
4.45845425e-02, 1.64409576e-04
4.49248813e-02, 1.63690493e-04
4.52652201e-02, 1.62971410e-04
4.56055589e-02, 1.62252371e-04
4.59458977e-02, 1.61533302e-04
4.62862365e-02, 1.60814277e-04
4.66265753e-02, 1.60095267e-04
4.69669141e-02, 1.59376243e-04
4.73072529e-02, 1.58657262e-04
4.76475917e-02, 1.57834365e-04
4.79879305e-02, 1.56612878e-04
4.83282693e-02, 1.55391826e-04
4.86686081e-02, 1.54171212e-04
4.90089469e-02, 1.52951121e-04
4.93492857e-02, 1.51731481e-04
4.96896245e-02, 1.50591906e-04
5.00299633e-02, 1.49461543e-04
5.03703021e-02, 1.48331164e-04
5.07106408e-02, 1.47200815e-04
5.10509796e-02, 1.46070452e-04
5.13913184e-02, 1.44940102e-04
5.17316572e-02, 1.43809739e-04
5.20719960e-02, 1.42679390e-04
5.24123348e-02, 1.41549041e-04
5.27526736e-02, 1.40418721e-04
5.30930124e-02, 1.39288357e-04
5.34333512e-02, 1.38158022e-04
5.37736900e-02, 1.36531118e-04
5.41140288e-02, 1.34847403e-04
5.44543676e-02, 1.33163747e-04
5.47947064e-02, 1.31480207e-04
5.51350452e-02, 1.29796725e-04
5.54753840e-02, 1.28113359e-04
5.58157228e-02, 1.26430081e-04
5.61560616e-02, 1.24746919e-04
5.64964004e-02, 1.23063859e-04
5.68367392e-02, 1.21393510e-04
5.71770780e-02, 1.19842705e-04
5.75174168e-02, 1.18292053e-04
5.78577556e-02, 1.16741547e-04
5.81980944e-02, 1.14837145e-04
5.85384332e-02, 1.12860762e-04
5.88787720e-02, 1.10885092e-04
5.92191108e-02, 1.09008353e-04
5.95594496e-02, 1.07135587e-04
5.98997883e-02, 1.05262807e-04
6.02401271e-02, 1.03390055e-04
6.05804659e-02, 1.01517289e-04
6.09208047e-02, 9.96445015e-05
6.12611435e-02, 9.77717573e-05
6.16014823e-02, 9.58989622e-05
6.19418211e-02, 9.40261962e-05
6.22821599e-02, 9.21534302e-05
6.26225024e-02, 9.00322120e-05
6.29628450e-02, 8.78541323e-05
6.33031875e-02, 8.56764163e-05
6.36435300e-02, 8.34991006e-05
6.39838725e-02, 8.13221632e-05
6.43242151e-02, 7.91197017e-05
6.46645576e-02, 7.68818063e-05
6.50049001e-02, 7.46439182e-05
6.53452426e-02, 7.24060228e-05
6.56855851e-02, 7.01153840e-05
6.60259277e-02, 6.76608252e-05
6.63662702e-02, 6.52063973e-05
6.67066127e-02, 6.27521295e-05
6.70469552e-02, 6.02980763e-05
6.73872977e-02, 5.78442377e-05
6.77276403e-02, 5.54084654e-05
6.80679828e-02, 5.30457801e-05
6.84083253e-02, 5.06831348e-05
6.87486678e-02, 4.84273878e-05
6.90890104e-02, 4.62178214e-05
6.94293529e-02, 4.40082840e-05
6.97696954e-02, 4.17987903e-05
7.01100379e-02, 3.96016585e-05
7.04503804e-02, 3.74511292e-05
7.07907230e-02, 3.53006108e-05
7.11310655e-02, 3.31711381e-05
7.14714080e-02, 3.10522591e-05
7.18117505e-02, 2.89689378e-05
7.21520931e-02, 2.68910080e-05
7.24924356e-02, 2.48132510e-05
7.28327781e-02, 2.28754307e-05
7.31731206e-02, 2.10275211e-05
7.35134631e-02, 1.91801118e-05
7.38538057e-02, 1.74808429e-05
7.41941482e-02, 1.58163857e-05
7.45344907e-02, 1.41526125e-05
7.48748332e-02, 1.25628876e-05
7.52151757e-02, 1.11053705e-05
7.55555183e-02, 9.77730451e-06
7.58958608e-02, 8.44852457e-06
7.62362033e-02, 7.10360973e-06
7.65765458e-02, 5.93779441e-06
7.69168884e-02, 4.90475259e-06
7.72572309e-02, 3.87302089e-06
7.75975734e-02, 3.03659112e-06
7.79379159e-02, 2.26528027e-06
7.82782584e-02, 1.60672596e-06
7.86186010e-02, 1.09775499e-06
7.89589435e-02, 6.44494605e-07
7.92992860e-02, 3.57644780e-07
7.96396285e-02, 1.36220919e-07
7.99799711e-02, 8.14738410e-09
8.03203136e-02, 0.00000000e+00
8.06606561e-02, 0.00000000e+00
undef, undef
8.95095617e-02, 0.00000000e+00
8.98499042e-02, 0.00000000e+00
9.01902467e-02, 2.71823737e-08
9.05305892e-02, 8.47555839e-08
9.08709317e-02, 1.91873781e-07
9.12112743e-02, 3.50905282e-07
9.15516168e-02, 5.33042851e-07
9.18919593e-02, 7.67975394e-07
9.22323018e-02, 1.00934767e-06
9.25726444e-02, 1.29293949e-06
9.29129869e-02, 1.58401053e-06
9.32533294e-02, 1.90788114e-06
9.35936719e-02, 2.24333462e-06
9.39340144e-02, 2.58236491e-06
9.42743570e-02, 2.95533914e-06
9.46146995e-02, 3.33915750e-06
9.49550420e-02, 3.72259774e-06
9.52953845e-02, 4.10940584e-06
9.56357270e-02, 4.50527295e-06
9.59760696e-02, 4.88388014e-06
9.63164121e-02, 5.26011308e-06
9.66567546e-02, 5.59084219e-06
9.69970971e-02, 5.90932905e-06
9.73374397e-02, 6.22782227e-06
9.76777822e-02, 6.54631776e-06
9.80181247e-02, 6.85608939e-06
9.83584672e-02, 7.13320560e-06
9.86988097e-02, 7.37845767e-06
9.90391523e-02, 7.59745990e-06
9.93794948e-02, 7.81652307e-06
9.97198373e-02, 8.03564217e-06
1.00060180e-01, 8.25481038e-06
1.00400522e-01, 8.45198883e-06
1.00740865e-01, 8.53852725e-06
1.01081207e-01, 8.62519482e-06
1.01421550e-01, 8.71198790e-06
1.01761892e-01, 8.79890285e-06
1.02102235e-01, 8.87038550e-06
1.02442577e-01, 8.85077316e-06
1.02782920e-01, 8.83298799e-06
1.03123263e-01, 8.72916553e-06
1.03463605e-01, 8.58661224e-06
1.03803948e-01, 8.44415536e-06
1.04144290e-01, 8.30180034e-06
1.04484633e-01, 8.13458428e-06
1.04824975e-01, 7.91926323e-06
1.05165318e-01, 7.70394581e-06
1.05505660e-01, 7.48907178e-06
1.05846003e-01, 7.27330826e-06
1.06186345e-01, 6.91406058e-06
1.06526688e-01, 6.54717405e-06
1.06867030e-01, 6.12638405e-06
1.07207373e-01, 5.58670399e-06
1.07547715e-01, 5.04771197e-06
1.07888058e-01, 4.50965808e-06
1.08228400e-01, 3.97291933e-06
1.08568743e-01, 3.43811371e-06
1.08909085e-01, 2.90630601e-06
1.09249428e-01, 2.37950985e-06
1.09589770e-01, 1.86198429e-06
1.09930113e-01, 1.35246205e-06
1.10270455e-01, 7.95269443e-07
1.10610798e-01, 3.32207293e-07
1.10951141e-01, 5.12717293e-07
1.11291483e-01, 1.04403318e-06
1.11631826e-01, 1.60988895e-06
1.11972168e-01, 2.18359492e-06
1.12312511e-01, 2.76026071e-06
1.12652853e-01, 3.33835260e-06
1.12993196e-01, 3.91723961e-06
1.13333538e-01, 4.49661502e-06
1.13673881e-01, 5.07631057e-06
1.14014223e-01, 5.84449572e-06
1.14354566e-01, 6.71535417e-06
1.14694908e-01, 7.58871192e-06
1.15035251e-01, 8.38254255e-06
1.15375593e-01, 9.17619764e-06
1.15715936e-01, 9.97046118e-06
1.16056278e-01, 1.07651913e-05
1.16396621e-01, 1.17354057e-05
1.16736963e-01, 1.29068840e-05
1.17077306e-01, 1.40783604e-05
1.17417648e-01, 1.52498433e-05
1.17757991e-01, 1.64213234e-05
1.18098333e-01, 1.75928053e-05
1.18438676e-01, 1.87642891e-05
1.18779019e-01, 1.99357746e-05
1.19119361e-01, 2.11072620e-05
1.19459704e-01, 2.22787530e-05
1.19800046e-01, 2.34502404e-05
