"drag-coefficient-rfile"
"Iteration" "drag-coefficient"
("Iteration" "drag-coefficient")
1 134.5194038711893
2 68.32996541258157
3 37.11628422382148
4 21.61170968374101
5 13.72476535478443
6 9.746326717499809
7 7.66223591637473
8 6.496174384129252
9 5.866579545227537
10 5.522453470469634
11 5.336518670123737
12 5.235807665875388
13 5.180073968747493
14 5.152614508304782
15 5.136768860180931
16 5.128135135837278
17 5.123874626235313
18 5.12191044155262
19 5.121095905344756
20 5.120755739943729
21 5.120508807301582
22 5.120351584426912
23 5.120235258134588
24 5.120139432191458
25 5.120070166133314
26 5.12001917656533
27 5.119980149851393
28 5.119950495637148
29 5.119927979618353
30 5.119910561472479
31 5.11989712875269
32 5.119887245399305
33 5.119879979130259
34 5.119874605019056
35 5.119870689131406
36 5.119867862507726
37 5.119865837125348
38 5.119864408082534
39 5.119863415352136
40 5.119862735290375
41 5.119862275353777
42 5.119861968129163
43 5.119861765553125
44 5.11986163421434
45 5.11986155009749
46 5.119861497639335
47 5.119861466060459
48 5.11986144804112
49 5.119861438673858
50 5.119861434701521
