"drag-coefficient-rfile"
"Iteration" "drag-coefficient"
("Iteration" "drag-coefficient")
1 223.1001973031815
2 113.7942718113223
3 61.33404784277186
4 35.52235154983539
5 22.54219071843683
6 15.84514986650814
7 12.35749009341592
8 10.55373087239396
9 9.595322547176739
10 9.078034800278465
11 8.797406628646335
12 8.644749959431365
13 8.560825435137371
14 8.514329157332435
15 8.488698972316124
16 8.474905490351045
17 8.467505262335765
18 8.463175716629102
19 8.460881575035289
20 8.459582786717224
21 8.458767774753609
22 8.458220006755969
23 8.45786909078222
24 8.45761082967473
25 8.457409358537793
26 8.457253774354459
27 8.457138182815081
28 8.457051783762411
29 8.456986672308506
30 8.456936364678695
31 8.456900075227423
32 8.456873771780407
33 8.456853936369619
34 8.456838802679025
35 8.456827329376473
36 8.456818744201517
37 8.456812389052573
38 8.456807720618432
39 8.456804309729124
40 8.456801826859024
41 8.456800023705732
42 8.456798715907917
43 8.456797767903364
44 8.456797080720682
45 8.456796582460903
46 8.456796221047718
47 8.456795958815469
48 8.456795768535635
49 8.456795630508088
50 8.456795530438495
51 8.4567954579631
