[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
5.61560616e-02, 1.24652477e-04
5.64964004e-02, 1.23052450e-04
5.68367392e-02, 1.21452453e-04
5.71770780e-02, 1.19852499e-04
5.75174168e-02, 1.18252559e-04
5.78577556e-02, 1.16652642e-04
5.81980944e-02, 1.15052746e-04
5.85384332e-02, 1.13452887e-04
5.88787720e-02, 1.11853049e-04
5.92191108e-02, 1.09885033e-04
5.95594496e-02, 1.07777050e-04
5.98997883e-02, 1.05669729e-04
6.02401271e-02, 1.03563099e-04
6.05804659e-02, 1.01480720e-04
6.09208047e-02, 9.93995927e-05
6.12611435e-02, 9.73185015e-05
6.16014823e-02, 9.52374903e-05
6.19418211e-02, 9.31565082e-05
6.22821599e-02, 9.10755771e-05
6.26225024e-02, 8.89970543e-05
6.29628450e-02, 8.70004296e-05
6.33031875e-02, 8.50059878e-05
6.36435300e-02, 8.29451965e-05
6.39838725e-02, 8.08749610e-05
6.43242151e-02, 7.88047546e-05
6.46645576e-02, 7.67345846e-05
6.50049001e-02, 7.46644655e-05
6.53452426e-02, 7.25943755e-05
6.56855851e-02, 7.01863828e-05
6.60259277e-02, 6.74978437e-05
6.63662702e-02, 6.48093046e-05
6.67066127e-02, 6.21207946e-05
6.70469552e-02, 5.94322846e-05
6.73872977e-02, 5.67378884e-05
6.77276403e-02, 5.43838323e-05
6.80679828e-02, 5.20249559e-05
6.84083253e-02, 4.97422625e-05
6.87486678e-02, 4.75076667e-05
6.90890104e-02, 4.53378962e-05
6.94293529e-02, 4.33105524e-05
6.97696954e-02, 4.12834852e-05
7.01100379e-02, 3.92567090e-05
7.04503804e-02, 3.72302966e-05
7.07907230e-02, 3.52042953e-05
7.11310655e-02, 3.31788033e-05
7.14714080e-02, 3.11227304e-05
7.18117505e-02, 2.90497246e-05
7.21520931e-02, 2.69765860e-05
7.24924356e-02, 2.49475070e-05
7.28327781e-02, 2.29765501e-05
7.31731206e-02, 2.10061135e-05
7.35134631e-02, 1.93170199e-05
7.38538057e-02, 1.77148086e-05
7.41941482e-02, 1.61130047e-05
7.45344907e-02, 1.45117201e-05
7.48748332e-02, 1.29320042e-05
7.52151757e-02, 1.13625283e-05
7.55555183e-02, 1.00547259e-05
7.58958608e-02, 8.75551541e-06
7.62362033e-02, 7.45645411e-06
7.65765458e-02, 6.15763565e-06
7.69168884e-02, 4.89300146e-06
7.72572309e-02, 3.94517610e-06
7.75975734e-02, 3.07151208e-06
7.79379159e-02, 2.29743227e-06
7.82782584e-02, 1.78352366e-06
7.86186010e-02, 1.27010173e-06
7.89589435e-02, 7.58150463e-07
7.92992860e-02, 4.66205648e-07
7.96396285e-02, 2.42887552e-07
7.99799711e-02, 1.40521070e-08
8.03203136e-02, 0.00000000e+00
8.06606561e-02, 0.00000000e+00
undef, undef
8.95095617e-02, 0.00000000e+00
8.98499042e-02, 0.00000000e+00
9.01902467e-02, 4.06023553e-08
9.05305892e-02, 1.17362966e-07
9.08709317e-02, 2.40207186e-07
9.12112743e-02, 3.75295258e-07
9.15516168e-02, 5.93221216e-07
9.18919593e-02, 8.13422844e-07
9.22323018e-02, 1.02549916e-06
9.25726444e-02, 1.32054674e-06
9.29129869e-02, 1.62610456e-06
9.32533294e-02, 1.92170205e-06
9.35936719e-02, 2.25162898e-06
9.39340144e-02, 2.63004608e-06
9.42743570e-02, 2.99929093e-06
9.46146995e-02, 3.36878361e-06
9.49550420e-02, 3.74242063e-06
9.52953845e-02, 4.11725568e-06
9.56357270e-02, 4.49209756e-06
9.59760696e-02, 4.86537556e-06
9.63164121e-02, 5.21950051e-06
9.66567546e-02, 5.55199176e-06
9.69970971e-02, 5.87574868e-06
9.73374397e-02, 6.19950788e-06
9.76777822e-02, 6.52326162e-06
9.80181247e-02, 6.83252074e-06
9.83584672e-02, 7.09188544e-06
9.86988097e-02, 7.35141430e-06
9.90391523e-02, 7.56623285e-06
9.93794948e-02, 7.75270564e-06
9.97198373e-02, 7.94014977e-06
1.00060180e-01, 8.11620339e-06
1.00400522e-01, 8.21797312e-06
1.00740865e-01, 8.32012665e-06
1.01081207e-01, 8.42264762e-06
1.01421550e-01, 8.52552239e-06
1.01761892e-01, 8.62874003e-06
1.02102235e-01, 8.73228964e-06
1.02442577e-01, 8.72426517e-06
1.02782920e-01, 8.65648781e-06
1.03123263e-01, 8.59120519e-06
1.03463605e-01, 8.52634275e-06
1.03803948e-01, 8.46182866e-06
1.04144290e-01, 8.39767381e-06
1.04484633e-01, 8.33388731e-06
1.04824975e-01, 8.27047461e-06
1.05165318e-01, 8.20744481e-06
1.05505660e-01, 8.14480882e-06
1.05846003e-01, 7.93302297e-06
1.06186345e-01, 7.65450204e-06
1.06526688e-01, 7.28160558e-06
1.06867030e-01, 6.87833608e-06
1.07207373e-01, 6.47506749e-06
1.07547715e-01, 6.07179936e-06
1.07888058e-01, 5.66853078e-06
1.08228400e-01, 5.22083565e-06
1.08568743e-01, 4.61515083e-06
1.08909085e-01, 4.01562056e-06
1.09249428e-01, 3.41601981e-06
1.09589770e-01, 2.62624098e-06
1.09930113e-01, 1.83676025e-06
1.10270455e-01, 1.04825187e-06
1.10610798e-01, 2.69377580e-07
1.10951141e-01, 5.43028591e-07
1.11291483e-01, 1.32882258e-06
1.11631826e-01, 2.12390978e-06
1.11972168e-01, 2.97601855e-06
1.12312511e-01, 3.83734550e-06
1.12652853e-01, 4.70283021e-06
1.12993196e-01, 5.57053500e-06
1.13333538e-01, 6.43957856e-06
1.13673881e-01, 7.30947340e-06
1.14014223e-01, 8.17994533e-06
1.14354566e-01, 9.04729768e-06
1.14694908e-01, 9.68926634e-06
1.15035251e-01, 1.03349612e-05
1.15375593e-01, 1.09837338e-05
1.15715936e-01, 1.16350639e-05
1.16056278e-01, 1.22885494e-05
1.16396621e-01, 1.29438595e-05
1.16736963e-01, 1.36007366e-05
1.17077306e-01, 1.42589561e-05
1.17417648e-01, 1.49554262e-05
1.17757991e-01, 1.58391340e-05
1.18098333e-01, 1.67228463e-05
1.18438676e-01, 1.76065696e-05
1.18779019e-01, 1.84903001e-05
1.19119361e-01, 1.93740307e-05
1.19459704e-01, 2.02577721e-05
1.19800046e-01, 2.11651586e-05
1.20140389e-01, 2.20799884e-05
1.20480731e-01, 2.29951311e-05
1.20821074e-01, 2.39105575e-05
1.21161416e-01, 2.48262349e-05
1.21501759e-01, 2.57421289e-05
1.21842101e-01, 2.66582247e-05
1.22182444e-01, 2.75744987e-05
1.22522786e-01, 2.84909329e-05
1.22863129e-01, 2.94075089e-05
1.23203471e-01, 3.03242232e-05
1.23543814e-01, 3.12410593e-05
1.23884156e-01, 3.21580119e-05
1.24224499e-01, 3.30750590e-05
1.24564841e-01, 3.39922044e-05
1.24905184e-01, 3.49094371e-05
1.25245526e-01, 3.58267498e-05
1.25585869e-01, 3.67441353e-05
1.25926211e-01, 3.77939105e-05
1.26266554e-01, 3.89630732e-05
1.26606897e-01, 3.98483098e-05
1.26947239e-01, 4.09494496e-05
1.27287582e-01, 4.21523109e-05
1.27627924e-01, 4.33551832e-05
1.27968267e-01, 4.45580736e-05
1.28308609e-01, 4.57609640e-05
1.28648952e-01, 4.69638799e-05
1.28989294e-01, 4.81668067e-05
1.29329637e-01, 4.93697407e-05
1.29669979e-01, 5.05726857e-05
1.30010322e-01, 5.17756416e-05
1.30350664e-01, 5.29785975e-05
1.30691007e-01, 5.41815680e-05
1.31031349e-01, 5.53845421e-05
1.31371692e-01, 5.65948721e-05
1.31712034e-01, 5.77905266e-05
1.32052377e-01, 5.89935371e-05
1.32392719e-01, 6.01965367e-05
1.32733062e-01, 6.13995435e-05
1.33073404e-01, 6.26025576e-05
1.33413747e-01, 6.38055790e-05
1.33754089e-01, 6.50086004e-05
1.34094432e-01, 6.62116217e-05
1.34434775e-01, 6.74146577e-05
1.34775117e-01, 6.86815692e-05
1.35115460e-01, 7.00218661e-05
1.35455802e-01, 7.13621848e-05
1.35796145e-01, 7.27025035e-05
1.36136487e-01, 7.40428222e-05
1.36476830e-01, 7.53831700e-05
1.36817172e-01, 7.67235106e-05
1.37157515e-01, 7.79031107e-05
1.37497857e-01, 7.86857490e-05
1.37838200e-01, 7.94684165e-05
1.38178542e-01, 8.02511058e-05
1.38518885e-01, 8.10338024e-05
1.38859227e-01, 8.18165499e-05
1.39199570e-01, 8.25993266e-05
1.39539912e-01, 8.33821177e-05
1.39880255e-01, 8.41649307e-05
1.40220597e-01, 8.49477801e-05
1.40560940e-01, 8.57306295e-05
1.40901282e-01, 8.65135153e-05
1.41241625e-01, 8.72964229e-05
1.41581967e-01, 8.80793450e-05
1.41922310e-01, 8.88622890e-05
1.42262653e-01, 8.96452548e-05
1.42602995e-01, 9.04282351e-05
1.42943338e-01, 9.12112446e-05
1.43283680e-01, 9.19942613e-05
1.43624023e-01, 9.30080860e-05
1.43964365e-01, 9.42647675e-05
1.44304708e-01, 9.55214200e-05
1.44645050e-01, 9.67781016e-05
1.44985393e-01, 9.80347759e-05
1.45325735e-01, 9.92914502e-05
1.45666078e-01, 1.00548139e-04
1.46006420e-01, 1.01804813e-04
1.46346763e-01, 1.03061495e-04
1.46687105e-01, 1.04318155e-04
1.47027448e-01, 1.05574822e-04
1.47367790e-01, 1.06831489e-04
1.47708133e-01, 1.07963606e-04
1.48048475e-01, 1.08646345e-04
1.48388818e-01, 1.09329085e-04
1.48729160e-01, 1.10011853e-04
1.49069503e-01, 1.10694629e-04
1.49409845e-01, 1.11377391e-04
1.49750188e-01, 1.12060188e-04
1.50090531e-01, 1.12742993e-04
1.50430873e-01, 1.13425776e-04
1.50771216e-01, 1.14108603e-04
1.51111558e-01, 1.14791430e-04
1.51451901e-01, 1.15755924e-04
1.51792243e-01, 1.16855124e-04
1.52132586e-01, 1.17954347e-04
1.52472928e-01, 1.19053540e-04
1.52813271e-01, 1.20152741e-04
1.53153613e-01, 1.21251942e-04
1.53493956e-01, 1.22351150e-04
1.53834298e-01, 1.23450358e-04
1.54174641e-01, 1.24549566e-04
1.54514983e-01, 1.25648774e-04
1.54855326e-01, 1.26747982e-04
1.55195668e-01, 1.27847190e-04
1.55536011e-01, 1.28946383e-04
1.55876353e-01, 1.30045592e-04
1.56216696e-01, 1.31144814e-04
1.56557038e-01, 1.32244008e-04
1.56897381e-01, 1.33343201e-04
1.57237723e-01, 1.34442424e-04
1.57578066e-01, 1.35541617e-04
1.57918409e-01, 1.36640854e-04
1.58258751e-01, 1.37740062e-04
1.58599094e-01, 1.38839270e-04
1.58939436e-01, 1.39938478e-04
1.59279779e-01, 1.41037672e-04
1.59620121e-01, 1.41888202e-04
1.59960464e-01, 1.42708159e-04
1.60300806e-01, 1.43528116e-04
1.60641149e-01, 1.44348072e-04
1.60981491e-01, 1.45168058e-04
1.61321834e-01, 1.45988044e-04
1.61662176e-01, 1.46808015e-04
1.62002519e-01, 1.47628045e-04
1.62342861e-01, 1.48448089e-04
1.62683204e-01, 1.49268119e-04
1.63023546e-01, 1.50088148e-04
1.63363889e-01, 1.50908207e-04
1.63704231e-01, 1.51728265e-04
1.64044574e-01, 1.52548309e-04
1.64384916e-01, 1.53368412e-04
1.64725259e-01, 1.54188470e-04
1.65065601e-01, 1.55008587e-04
1.65405944e-01, 1.55987960e-04
1.65746287e-01, 1.57001647e-04
1.66086629e-01, 1.58015391e-04
1.66426972e-01, 1.59029238e-04
1.66767314e-01, 1.60043142e-04
1.67107657e-01, 1.61057149e-04
1.67447999e-01, 1.62071199e-04
1.67788342e-01, 1.63085337e-04
1.68128684e-01, 1.64099518e-04
1.68469027e-01, 1.65113757e-04
1.68809369e-01, 1.66128084e-04
1.69149712e-01, 1.67142469e-04
1.69490054e-01, 1.68156941e-04
1.69830397e-01, 1.69171471e-04
1.70170739e-01, 1.70186046e-04
1.70511082e-01, 1.71200692e-04
1.70851424e-01, 1.72215354e-04
1.71191767e-01, 1.73230088e-04
1.71532109e-01, 1.74244924e-04
1.71872452e-01, 1.75259818e-04
1.72212794e-01, 1.76274712e-04
1.72553137e-01, 1.77289709e-04
1.72893479e-01, 1.78304734e-04
1.73233822e-01, 1.79319803e-04
1.73574165e-01, 1.79926239e-04
1.73914507e-01, 1.80308314e-04
1.74254850e-01, 1.80690433e-04
1.74595192e-01, 1.81072508e-04
1.74935535e-01, 1.81454612e-04
1.75275877e-01, 1.81836731e-04
1.75616220e-01, 1.82218821e-04
1.75956562e-01, 1.82600925e-04
1.76296905e-01, 1.82983043e-04
1.76637247e-01, 1.83365133e-04
1.76977590e-01, 1.83747223e-04
1.77317932e-01, 1.84129356e-04
1.77658275e-01, 1.84511446e-04
1.77998617e-01, 1.84893579e-04
1.78338960e-01, 1.85275698e-04
1.78679302e-01, 1.85657802e-04
1.79019645e-01, 1.86039950e-04
1.79359987e-01, 1.86422039e-04
1.79700330e-01, 1.86804158e-04
1.80040672e-01, 1.87186291e-04
1.80381015e-01, 1.87568454e-04
1.80721357e-01, 1.87950587e-04
1.81061700e-01, 1.88332735e-04
1.81402043e-01, 1.88714854e-04
1.81742385e-01, 1.89096987e-04
1.82082728e-01, 1.89479120e-04
1.82423070e-01, 1.89861268e-04
1.82763413e-01, 1.90243401e-04
1.83103755e-01, 1.90625535e-04
1.83444098e-01, 1.91007697e-04
1.83784440e-01, 1.91389830e-04
1.84124783e-01, 1.91771978e-04
1.84465125e-01, 1.92154155e-04
1.84805468e-01, 1.92536289e-04
1.85145810e-01, 1.92918436e-04
1.85486153e-01, 1.93300570e-04
1.85826495e-01, 1.93682761e-04
1.86166838e-01, 1.94064909e-04
1.86507180e-01, 1.94447071e-04
1.86847523e-01, 1.94829219e-04
1.87187865e-01, 1.95250061e-04
1.87528208e-01, 1.95881672e-04
1.87868550e-01, 1.96513327e-04
1.88208893e-01, 1.97145026e-04
1.88549235e-01, 1.97776739e-04
1.88889578e-01, 1.98408554e-04
1.89229921e-01, 1.99040354e-04
1.89570263e-01, 1.99672228e-04
1.89910606e-01, 2.00304115e-04
1.90250948e-01, 2.00936076e-04
1.90591291e-01, 2.01335526e-04
1.90931633e-01, 2.01645904e-04
1.91271976e-01, 2.01956354e-04
1.91612318e-01, 2.02266703e-04
1.91952661e-01, 2.02577095e-04
1.92293003e-01, 2.02887502e-04
1.92633346e-01, 2.03197895e-04
1.92973688e-01, 2.03508302e-04
1.93314031e-01, 2.03931384e-04
1.93654373e-01, 2.04405485e-04
1.93994716e-01, 2.04879630e-04
1.94335058e-01, 2.05353688e-04
1.94675401e-01, 2.05827848e-04
1.95015743e-01, 2.06301964e-04
1.95356086e-01, 2.06776080e-04
1.95696428e-01, 2.07250225e-04
1.96036771e-01, 2.07724312e-04
1.96377113e-01, 2.08198442e-04
1.96717456e-01, 2.08672587e-04
1.97057799e-01, 2.09146732e-04
1.97398141e-01, 2.09620863e-04
1.97738484e-01, 2.10094993e-04
1.98078826e-01, 2.10569167e-04
1.98419169e-01, 2.11043283e-04
1.98759511e-01, 2.11517472e-04
1.99099854e-01, 2.11991573e-04
1.99440196e-01, 2.12465777e-04
1.99780539e-01, 2.12939922e-04
2.00120881e-01, 2.13414110e-04
2.00461224e-01, 2.13888270e-04
2.00801566e-01, 2.14362415e-04
2.01141909e-01, 2.14836575e-04
2.01482251e-01, 2.15310778e-04
2.01822594e-01, 2.15784981e-04
2.02162936e-01, 2.16259112e-04
2.02503279e-01, 2.16733315e-04
2.02843621e-01, 2.17207518e-04
2.03183964e-01, 2.17681663e-04
2.03524306e-01, 2.18155881e-04
2.03864649e-01, 2.18630055e-04
2.04204991e-01, 2.19104229e-04
2.04545334e-01, 2.19578462e-04
2.04885677e-01, 2.20052651e-04
2.05226019e-01, 2.20526825e-04
2.05566362e-01, 2.21001057e-04
2.05906704e-01, 2.21475275e-04
2.06247047e-01, 2.21949464e-04
2.06587389e-01, 2.22423696e-04
2.06927732e-01, 2.22897899e-04
2.07268074e-01, 2.23372132e-04
2.07608417e-01, 2.23846335e-04
2.07948759e-01, 2.24320553e-04
2.08289102e-01, 2.24729069e-04
2.08629444e-01, 2.25010765e-04
2.08969787e-01, 2.25292475e-04
2.09310129e-01, 2.25574186e-04
2.09650472e-01, 2.25855925e-04
2.09990814e-01, 2.26137679e-04
2.10331157e-01, 2.26419448e-04
2.10671499e-01, 2.26701202e-04
2.11011842e-01, 2.26983000e-04
2.11352184e-01, 2.27264769e-04
2.11692527e-01, 2.27546567e-04
2.12032869e-01, 2.27828365e-04
2.12373212e-01, 2.28110148e-04
2.12713555e-01, 2.28392018e-04
2.13053897e-01, 2.28673860e-04
2.13394240e-01, 2.28955687e-04
2.13734582e-01, 2.29237543e-04
2.14074925e-01, 2.29519443e-04
2.14415267e-01, 2.29801270e-04
2.14755610e-01, 2.30083155e-04
2.15095952e-01, 2.30365025e-04
2.15436295e-01, 2.30646954e-04
2.15776637e-01, 2.30928854e-04
2.16116980e-01, 2.31210783e-04
2.16457322e-01, 2.31492726e-04
2.16797665e-01, 2.31774655e-04
2.17138007e-01, 2.32056642e-04
2.17478350e-01, 2.32338600e-04
2.17818692e-01, 2.32620543e-04
2.18159035e-01, 2.32902486e-04
2.18499377e-01, 2.33184503e-04
2.18839720e-01, 2.33466504e-04
2.19180062e-01, 2.33748520e-04
2.19520405e-01, 2.34030493e-04
2.19860747e-01, 2.34312538e-04
2.20201090e-01, 2.34594612e-04
2.20541432e-01, 2.34876657e-04
2.20881775e-01, 2.35158645e-04
2.21222118e-01, 2.35440748e-04
2.21562460e-01, 2.35722808e-04
2.21902803e-01, 2.35971078e-04
2.22243145e-01, 2.36213178e-04
2.22583488e-01, 2.36455264e-04
2.22923830e-01, 2.36697466e-04
2.23264173e-01, 2.36939697e-04
2.23604515e-01, 2.37181943e-04
2.23944858e-01, 2.37424247e-04
2.24285200e-01, 2.37666551e-04
2.24625543e-01, 2.37908942e-04
2.24965885e-01, 2.38151348e-04
2.25306228e-01, 2.38393826e-04
2.25646570e-01, 2.38636319e-04
2.25986913e-01, 2.38878827e-04
2.26327255e-01, 2.39121422e-04
2.26667598e-01, 2.39364046e-04
2.27007940e-01, 2.39606685e-04
2.27348283e-01, 2.39849396e-04
2.27688625e-01, 2.40092122e-04
2.28028968e-01, 2.40334921e-04
2.28369310e-01, 2.40577720e-04
2.28709653e-01, 2.40820562e-04
2.29049996e-01, 2.41039204e-04
2.29390338e-01, 2.41149814e-04
2.29730681e-01, 2.41260437e-04
2.30071023e-01, 2.41371061e-04
2.30411366e-01, 2.41481699e-04
2.30751708e-01, 2.41592308e-04
2.31092051e-01, 2.41702961e-04
2.31432393e-01, 2.41813599e-04
