"drag-coefficient-rfile"
"Iteration" "drag-coefficient"
("Iteration" "drag-coefficient")
1 89.61044433621542
2 46.76615198029742
3 26.11437742857946
4 15.83880279622524
5 10.72064269098621
6 8.102975782276305
7 6.698145104528582
8 5.951536509276184
9 5.552547546839214
10 5.337279457131944
11 5.221293474926259
12 5.159878843102049
13 5.127688973323015
14 5.111101509930455
15 5.101839357575905
16 5.096870337368469
17 5.09437453916875
18 5.093120818873922
19 5.09244848349404
20 5.092053974168485
21 5.09181803473791
22 5.091674551092673
23 5.091668943935852
24 5.091654072342419
25 5.09157225973384
26 5.091512129562077
27 5.091498202519957
28 5.091461928087844
29 5.091435436461488
30 5.091415149793158
31 5.091408085577554
32 5.091397872688367
33 5.091390535478333
34 5.091387859530747
35 5.091383992325686
36 5.091381019046916
37 5.091379649800377
38 5.091378080171713
39 5.091377343044538
40 5.091376555708168
41 5.091375940514212
42 5.091375599736053
43 5.091375408275038
44 5.091375222871086
45 5.091375077583958
46 5.091374953097894
47 5.091374873132646
48 5.091374840006869
49 5.091374818523201
50 5.091374798146592
51 5.091374782173224
